Date,Day,Month,Year,Flow
2009-01-01,1,1,2009,3960.31
2009-01-02,2,1,2009,3674.31
2009-01-03,3,1,2009,3571.8
2009-01-04,4,1,2009,3529.277
2009-01-05,5,1,2009,3496.925
2009-01-06,6,1,2009,3453.605
2009-01-07,7,1,2009,3421.372
2009-01-08,8,1,2009,3394.177
2009-01-09,9,1,2009,3682.457
2009-01-10,10,1,2009,4226.825
2009-01-11,11,1,2009,4765.642
2009-01-12,12,1,2009,5141.682
2009-01-13,13,1,2009,5270.075
2009-01-14,14,1,2009,5605.89
2009-01-15,15,1,2009,5477.526
2009-01-16,16,1,2009,5332.859
2009-01-17,17,1,2009,5004.946
2009-01-18,18,1,2009,4929.181
2009-01-19,19,1,2009,4860.556
2009-01-20,20,1,2009,4323.747
2009-01-21,21,1,2009,4157.373
2009-01-22,22,1,2009,4132.96
2009-01-23,23,1,2009,4266.966
2009-01-24,24,1,2009,4269.51
2009-01-25,25,1,2009,5549.446
2009-01-26,26,1,2009,6981.089
2009-01-27,27,1,2009,3696.199
2009-01-28,28,1,2009,1942.344
2009-01-29,29,1,2009,2978.837
2009-01-30,30,1,2009,4038.136
2009-01-31,31,1,2009,4630.855
2009-02-01,1,2,2009,5242.937
2009-02-02,2,2,2009,5984.661
2009-02-03,3,2,2009,6122.943
2009-02-04,4,2,2009,6081.037
2009-02-05,5,2,2009,6074.066
2009-02-06,6,2,2009,6065.373
2009-02-07,7,2,2009,5568.413
2009-02-08,8,2,2009,5190.209
2009-02-09,9,2,2009,5132.49
2009-02-10,10,2,2009,5127.831
2009-02-11,11,2,2009,5130.006
2009-02-12,12,2,2009,5159.376
2009-02-13,13,2,2009,4847.66
2009-02-14,14,2,2009,4676.746
2009-02-15,15,2,2009,4430.7
2009-02-16,16,2,2009,4389.374
2009-02-17,17,2,2009,4361.289
2009-02-18,18,2,2009,4277.839
2009-02-19,19,2,2009,3793.592
2009-02-20,20,2,2009,3489.922
2009-02-21,21,2,2009,3390.982
2009-02-22,22,2,2009,3363.049
2009-02-23,23,2,2009,3325.607
2009-02-24,24,2,2009,3341.229
2009-02-25,25,2,2009,3958.365
2009-02-26,26,2,2009,4122.346
2009-02-27,27,2,2009,4115.495
2009-02-28,28,2,2009,3889.733
2009-03-01,1,3,2009,3766.894
2009-03-02,2,3,2009,3418.519
2009-03-03,3,3,2009,3284.594
2009-03-04,4,3,2009,3212.599
2009-03-05,5,3,2009,2992.145
2009-03-06,6,3,2009,2774.848
2009-03-07,7,3,2009,2661.697
2009-03-08,8,3,2009,2617.217
2009-03-09,9,3,2009,2387.332
2009-03-10,10,3,2009,2243.651
2009-03-11,11,3,2009,2109.055
2009-03-12,12,3,2009,2068.242
2009-03-13,13,3,2009,2215.592
2009-03-14,14,3,2009,2650.833
2009-03-15,15,3,2009,2468.416
2009-03-16,16,3,2009,2597.916
2009-03-17,17,3,2009,2579.234
2009-03-18,18,3,2009,2935.645
2009-03-19,19,3,2009,3256.335
2009-03-20,20,3,2009,3138.91
2009-03-21,21,3,2009,3093.267
2009-03-22,22,3,2009,2908.852
2009-03-23,23,3,2009,2684.561
2009-03-24,24,3,2009,2621.992
2009-03-25,25,3,2009,2368.352
2009-03-26,26,3,2009,2436.756
2009-03-27,27,3,2009,2941.837
2009-03-28,28,3,2009,3115.748
2009-03-29,29,3,2009,3428.421
2009-03-30,30,3,2009,3488.198
2009-03-31,31,3,2009,3495.317
2009-04-01,1,4,2009,3484.134
2009-04-02,2,4,2009,3517.467
2009-04-03,3,4,2009,3616.813
2009-04-04,4,4,2009,3836.592
2009-04-05,5,4,2009,3923.924
2009-04-06,6,4,2009,3966.534
2009-04-07,7,4,2009,4066.319
2009-04-08,8,4,2009,3992.484
2009-04-09,9,4,2009,3952.433
2009-04-10,10,4,2009,3963.511
2009-04-11,11,4,2009,3888.171
2009-04-12,12,4,2009,3612.6
2009-04-13,13,4,2009,4008.205
2009-04-14,14,4,2009,4143.19
2009-04-15,15,4,2009,4184.286
2009-04-16,16,4,2009,4285.837
2009-04-17,17,4,2009,4044.101
2009-04-18,18,4,2009,3535.128
2009-04-19,19,4,2009,3014.461
2009-04-20,20,4,2009,2846.083
2009-04-21,21,4,2009,2807.912
2009-04-22,22,4,2009,2737.57
2009-04-23,23,4,2009,2487.291
2009-04-24,24,4,2009,2179.595
2009-04-25,25,4,2009,1976.944
2009-04-26,26,4,2009,1775.943
2009-04-27,27,4,2009,1493.798
2009-04-28,28,4,2009,1729.862
2009-04-29,29,4,2009,1861.855
2009-04-30,30,4,2009,1515.498
2009-05-01,1,5,2009,1181.878
2009-05-02,2,5,2009,986.173
2009-05-03,3,5,2009,850.227
2009-05-04,4,5,2009,734.01
2009-05-05,5,5,2009,674.708
2009-05-06,6,5,2009,763.122
2009-05-07,7,5,2009,839.414
2009-05-08,8,5,2009,714.204
2009-05-09,9,5,2009,622.197
2009-05-10,10,5,2009,599.707
2009-05-11,11,5,2009,598.266
2009-05-12,12,5,2009,591.566
2009-05-13,13,5,2009,577.696
2009-05-14,14,5,2009,571.508
2009-05-15,15,5,2009,584.706
2009-05-16,16,5,2009,581.845
2009-05-17,17,5,2009,572.787
2009-05-18,18,5,2009,573.86
2009-05-19,19,5,2009,596.636
2009-05-20,20,5,2009,754.029
2009-05-21,21,5,2009,758.037
2009-05-22,22,5,2009,691.691
2009-05-23,23,5,2009,825.215
2009-05-24,24,5,2009,923.706
2009-05-25,25,5,2009,901.515
2009-05-26,26,5,2009,948.645
2009-05-27,27,5,2009,1215.359
2009-05-28,28,5,2009,1462.075
2009-05-29,29,5,2009,1808.546
2009-05-30,30,5,2009,1841.372
2009-05-31,31,5,2009,1750.632
2009-06-01,1,6,2009,1582.417
2009-06-02,2,6,2009,1329.217
2009-06-03,3,6,2009,1126.635
2009-06-04,4,6,2009,1038.226
2009-06-05,5,6,2009,1012.444
2009-06-06,6,6,2009,993.721
2009-06-07,7,6,2009,1177.183
2009-06-08,8,6,2009,1637.353
2009-06-09,9,6,2009,1918.594
2009-06-10,10,6,2009,2014.064
2009-06-11,11,6,2009,2128.508
2009-06-12,12,6,2009,2357.786
2009-06-13,13,6,2009,2246.524
2009-06-14,14,6,2009,1889.97
2009-06-15,15,6,2009,1660.836
2009-06-16,16,6,2009,1456.548
2009-06-17,17,6,2009,1213.043
2009-06-18,18,6,2009,982.654
2009-06-19,19,6,2009,806.524
2009-06-20,20,6,2009,745.686
2009-06-21,21,6,2009,726.679
2009-06-22,22,6,2009,719.093
2009-06-23,23,6,2009,693.596
2009-06-24,24,6,2009,706.141
2009-06-25,25,6,2009,746.87
2009-06-26,26,6,2009,781.05
2009-06-27,27,6,2009,853.58
2009-06-28,28,6,2009,976.781
2009-06-29,29,6,2009,1067.415
2009-06-30,30,6,2009,997.273
2009-07-01,1,7,2009,964.057
2009-07-02,2,7,2009,961.006
2009-07-03,3,7,2009,1013.557
2009-07-04,4,7,2009,1698.398
2009-07-05,5,7,2009,3309.526
2009-07-06,6,7,2009,3701.802
2009-07-07,7,7,2009,2480.499
2009-07-08,8,7,2009,1899.683
2009-07-09,9,7,2009,1587.776
2009-07-10,10,7,2009,1351.166
2009-07-11,11,7,2009,1181.301
2009-07-12,12,7,2009,1076.176
2009-07-13,13,7,2009,1005.108
2009-07-14,14,7,2009,992.569
2009-07-15,15,7,2009,958.563
2009-07-16,16,7,2009,962.38
2009-07-17,17,7,2009,1039.795
2009-07-18,18,7,2009,1330.958
2009-07-19,19,7,2009,1246
2009-07-20,20,7,2009,1121.983
2009-07-21,21,7,2009,1026.109
2009-07-22,22,7,2009,984.141
2009-07-23,23,7,2009,967.621
2009-07-24,24,7,2009,921.884
2009-07-25,25,7,2009,904.558
2009-07-26,26,7,2009,956.763
2009-07-27,27,7,2009,1140.938
2009-07-28,28,7,2009,1069.664
2009-07-29,29,7,2009,1002.732
2009-07-30,30,7,2009,978.3
2009-07-31,31,7,2009,1015.763
2009-08-01,1,8,2009,1091.736
2009-08-02,2,8,2009,1090.869
2009-08-03,3,8,2009,1152.796
2009-08-04,4,8,2009,1336.995
2009-08-05,5,8,2009,1204.898
2009-08-06,6,8,2009,1109.723
2009-08-07,7,8,2009,1046.467
2009-08-08,8,8,2009,1001.751
2009-08-09,9,8,2009,964.286
2009-08-10,10,8,2009,943.551
2009-08-11,11,8,2009,1159.631
2009-08-12,12,8,2009,1454.104
2009-08-13,13,8,2009,1454.532
2009-08-14,14,8,2009,1457.946
2009-08-15,15,8,2009,2517.158
2009-08-16,16,8,2009,4349.036
2009-08-17,17,8,2009,4243.7
2009-08-18,18,8,2009,3457.062
2009-08-19,19,8,2009,2822.427
2009-08-20,20,8,2009,2500.646
2009-08-21,21,8,2009,2312.728
2009-08-22,22,8,2009,2173.658
2009-08-23,23,8,2009,2014.709
2009-08-24,24,8,2009,1913.901
2009-08-25,25,8,2009,2395.785
2009-08-26,26,8,2009,2077.711
2009-08-27,27,8,2009,1838.19
2009-08-28,28,8,2009,1648.541
2009-08-29,29,8,2009,1530.118
2009-08-30,30,8,2009,1441.249
2009-08-31,31,8,2009,1305.046
2009-09-01,1,9,2009,1422.725
2009-09-02,2,9,2009,2262.639
2009-09-03,3,9,2009,2317.251
2009-09-04,4,9,2009,2319.13
2009-09-05,5,9,2009,2102.872
2009-09-06,6,9,2009,2053.81
2009-09-07,7,9,2009,2511.813
2009-09-08,8,9,2009,2372.319
2009-09-09,9,9,2009,2166.872
2009-09-10,10,9,2009,3043.831
2009-09-11,11,9,2009,4237.645
2009-09-12,12,9,2009,4466.602
2009-09-13,13,9,2009,4741.501
2009-09-14,14,9,2009,4617.558
2009-09-15,15,9,2009,4601.75
2009-09-16,16,9,2009,4498.462
2009-09-17,17,9,2009,4484.45
2009-09-18,18,9,2009,4582.329
2009-09-19,19,9,2009,5154.879
2009-09-20,20,9,2009,5256.353
2009-09-21,21,9,2009,3978.573
2009-09-22,22,9,2009,2718.865
2009-09-23,23,9,2009,2058.19
2009-09-24,24,9,2009,1647.488
2009-09-25,25,9,2009,1960.681
2009-09-26,26,9,2009,4061.595
2009-09-27,27,9,2009,3512.342
2009-09-28,28,9,2009,2990.23
2009-09-29,29,9,2009,3834.953
2009-09-30,30,9,2009,3972.437
2009-10-01,1,10,2009,3471.444
2009-10-02,2,10,2009,5805.067
2009-10-03,3,10,2009,6627.353
2009-10-04,4,10,2009,5554.241
2009-10-05,5,10,2009,5044.111
2009-10-06,6,10,2009,5418.004
2009-10-07,7,10,2009,5518.012
2009-10-08,8,10,2009,5140.187
2009-10-09,9,10,2009,4655.828
2009-10-10,10,10,2009,4424.034
2009-10-11,11,10,2009,4356.809
2009-10-12,12,10,2009,4567.278
2009-10-13,13,10,2009,4640.424
2009-10-14,14,10,2009,4909.018
2009-10-15,15,10,2009,6166.162
2009-10-16,16,10,2009,6741.824
2009-10-17,17,10,2009,7278.987
2009-10-18,18,10,2009,7309.98
2009-10-19,19,10,2009,5748.11
2009-10-20,20,10,2009,4941.098
2009-10-21,21,10,2009,4977.737
2009-10-22,22,10,2009,5638.562
2009-10-23,23,10,2009,5617.554
2009-10-24,24,10,2009,5422.084
2009-10-25,25,10,2009,5284.613
2009-10-26,26,10,2009,5597.55
2009-10-27,27,10,2009,5565.834
2009-10-28,28,10,2009,5580.335
2009-10-29,29,10,2009,5812.325
2009-10-30,30,10,2009,5984.135
2009-10-31,31,10,2009,6168.021
2009-11-01,1,11,2009,5867.184
2009-11-02,2,11,2009,5434.386
2009-11-03,3,11,2009,5401.39
2009-11-04,4,11,2009,6087.31
2009-11-05,5,11,2009,6278.192
2009-11-06,6,11,2009,6937.69
2009-11-07,7,11,2009,7327.806
2009-11-08,8,11,2009,7379.135
2009-11-09,9,11,2009,7135.72
2009-11-10,10,11,2009,7087.783
2009-11-11,11,11,2009,7105.116
2009-11-12,12,11,2009,7091.703
2009-11-13,13,11,2009,7081.874
2009-11-14,14,11,2009,7087.172
2009-11-15,15,11,2009,7058.541
2009-11-16,16,11,2009,7040.017
2009-11-17,17,11,2009,7019.543
2009-11-18,18,11,2009,6977.715
2009-11-19,19,11,2009,6913.986
2009-11-20,20,11,2009,6885.828
2009-11-21,21,11,2009,6870.791
2009-11-22,22,11,2009,6924.748
2009-11-23,23,11,2009,6963.61
2009-11-24,24,11,2009,6983.889
2009-11-25,25,11,2009,6973.164
2009-11-26,26,11,2009,6685.36
2009-11-27,27,11,2009,6199.851
2009-11-28,28,11,2009,5657.065
2009-11-29,29,11,2009,5411.516
2009-11-30,30,11,2009,4605.735
2009-12-01,1,12,2009,4278.844
2009-12-02,2,12,2009,4192.007
2009-12-03,3,12,2009,3724.38
2009-12-04,4,12,2009,3426.996
2009-12-05,5,12,2009,3602.76
2009-12-06,6,12,2009,3717.614
2009-12-07,7,12,2009,4336.38
2009-12-08,8,12,2009,4578.64
2009-12-09,9,12,2009,4746.124
2009-12-10,10,12,2009,6171.249
2009-12-11,11,12,2009,6896.279
2009-12-12,12,12,2009,7127.029
2009-12-13,13,12,2009,7416.475
2009-12-14,14,12,2009,7527.761
2009-12-15,15,12,2009,7526.084
2009-12-16,16,12,2009,7395.588
2009-12-17,17,12,2009,6690.171
2009-12-18,18,12,2009,6245.979
2009-12-19,19,12,2009,6183.866
2009-12-20,20,12,2009,6193.476
2009-12-21,21,12,2009,6382.935
2009-12-22,22,12,2009,6368.019
2009-12-23,23,12,2009,6200.313
2009-12-24,24,12,2009,6641.947
2009-12-25,25,12,2009,6738.552
2009-12-26,26,12,2009,4912.191
2009-12-27,27,12,2009,4547.793
2009-12-28,28,12,2009,4626.437
2009-12-29,29,12,2009,4187.607
2009-12-30,30,12,2009,4611.299
2009-12-31,31,12,2009,4085.552
2010-01-01,1,1,2010,4027.511
